x y z m s
2 3.97 3.01 45 22
2 3.97 3.01 45 22
2 3.97 3 45 22
2 3.97 3 45 22
2 3.97 3 45 22
2 3.97 3 45 23
2 3.98 3 45 23
2 3.98 3 45 23
2 3.98 3 45 23
2 3.98 3.01 45 23
2 3.98 3.01 45 23
2 3.99 3.01 45 23
2 3.99 3.01 45 23
2 3.99 3.01 45 23
2 3.99 3.01 45 23
2 4 3 45 23
2 4 3 45 23
1.99 4 3 45 23
1.99 4 3 45 23
1.99 4.01 3 45 24
1.99 4.01 3 45 24
1.99 4.01 3 45 24
1.99 4.01 3 45 24
1.99 4.01 3 45 24
1.99 4.02 3 45 24
1.99 4.02 3 45 24
1.99 4.02 3 45 24
1.99 4.02 3 45 24
1.99 4.02 3 45 24
1.99 4.02 3 45 24
1.99 4.02 3 45 24
1.99 4.02 3 45 24
1.99 4.02 3 45 24
1.99 4.02 3 45 24
1.99 4.02 3 45 24
1.99 4.02 3 45 25
1.99 4.02 3 45 25
1.99 4.02 3 45 25
1.99 4.02 3 45 25
1.99 4.02 3 45 25
1.99 4.02 3 45 25
1.99 4.02 3 45 25
1.99 4.01 3 45 25
1.99 4.01 3 45 25
1.99 4.01 3 45 25
1.99 4.01 3 45 25
1.99 4.01 3 45 25
1.99 4.01 3 45 25
1.99 4.01 3 45 25
1.99 4 3 45 26
2 4 3 45 26
2 4 3 45 26
2 4 3 45 26
2 4 3 45 26
2 3.99 3 45 26
2 3.99 3 45 26
2 3.99 3 45 26
2 3.99 3 45 26
2 3.99 3 45 26
2 3.99 3 45 26
2 3.99 3 45 26
2 3.99 3 45 26
2 3.98 3 45 26
2.01 3.98 3 45 26
2.01 3.98 3 45 26
2.01 3.98 3 45 26
2.01 3.98 3 45 27
2.01 3.98 3.01 45 27
2.01 3.99 3.01 45 27
2.01 3.99 3.01 45 27
2.01 3.99 3.01 45 27
2.01 3.99 3.01 45 27
2.01 3.99 3.01 45 27
2.01 3.99 3.01 45 27
2.01 3.99 3.01 45 27
2.01 3.99 3.01 45 27
2.01 3.99 3.01 45 27
2.01 4 3.01 45 27
2.01 4 3.01 45 27
2.01 4 3.01 45 27
2.01 4 3.01 45 27
2.01 4 3.01 45 27
2.01 4 3 45 28
2.01 4 3 45 28
2 4.01 3 45 28
2 4.01 3 45 28
2 4.01 3 45 28
2 4.01 3 45 28
2 4.01 3 45 28
2 4.01 3 45 28
2 4.01 3 45 28
2 4.01 3 45 28
2 4.01 3 45 28
2 4.01 3 45 28
1.99 4.01 3 45 28
1.99 4.01 3 45 28
1.99 4.01 3 45 28
1.99 4.01 3 45 29
1.99 4 3 45 29
1.99 4 3 45 29
1.99 4 3 45 29
1.99 4 3 45 29
1.99 4 3 45 29
1.99 4 3 45 29
1.99 4 3 45 29
1.99 4 3 45 29
1.99 4 3 45 29
1.99 4 3 45 29
1.99 4 3 45 29
1.99 4 3 45 29
1.99 4 3 45 29
1.99 3.99 3 45 29
1.99 3.99 3 45 30
1.99 3.99 3 45 30
1.99 3.99 3 45 30
1.99 3.99 3 45 30
1.99 3.99 3 45 30
1.99 3.99 3 45 30
1.99 3.99 3 45 30
1.99 3.99 3 45 30
2 3.99 3 45 30
2 3.99 3 45 30
2 3.99 3 45 30
2 3.99 3 45 30
2 3.99 3 45 30
2 3.99 3 45 30
2.01 3.99 3 45 30
2.01 3.99 3 45 31
2.01 3.99 3 45 31
2.01 3.99 3 45 31
2.01 3.99 3 45 31
2.01 4 3 45 31
2.01 4 3 45 31
2.01 4 2.99 45 31
2.01 4 2.99 45 31
2.01 4 2.99 45 31
2.01 4 2.99 45 31
2.01 4 2.99 45 31
2.01 4 2.99 45 31
2.01 4.01 2.99 45 31
2.01 4.01 2.99 45 31
2.01 4.01 2.99 45 31
2.01 4.01 2.99 45 31
2.01 4.01 2.99 45 31
2.01 4.01 2.99 45 32
2 4.01 2.98 45 32
2 4.01 2.98 45 32
2 4.01 2.98 45 32
2 4.01 2.98 45 32
2 4.01 2.98 45 32
2 4.01 2.98 45 32
2 4.01 2.98 45 32
2 4.01 2.98 45 32
2 4.01 2.98 45 32
2 4.01 2.98 45 32
2 4.01 2.98 45 32
1.99 4.01 2.98 45 32
1.99 4.01 2.98 45 32
1.99 4 2.98 45 32
1.99 4 2.98 45 32
1.99 4 2.99 45 32
1.99 4 2.99 45 32
1.99 4 2.99 45 33
1.99 4 2.99 45 33
1.99 4 2.99 45 33
1.99 4 2.99 45 33
1.99 3.99 2.99 45 33
1.99 3.99 2.99 45 33
1.99 3.99 2.99 45 33
